Last calculation time : 05-Jul-2021 11:33:16 
Boiling point and equilibrium diagram of BENZENE(C6H6)(255) and TOLUENE(302)(C7H8) at 1.0000 atm 
More volatile component is BENZENE, boiling point of BENZENE at 1 atm is 80.25(C) 
Boiling point of TOLUENE at 1 atm is 110.78(C)  

Temp(C)       xA       yA     
--------------------------
80.3      1.0000    1.0000  

81.3      0.9508    0.9804  

82.3      0.9031    0.9601  

83.3      0.8570    0.9391  

84.3      0.8123    0.9173  

85.3      0.7690    0.8947  

86.3      0.7270    0.8714  

87.3      0.6863    0.8473  

88.3      0.6468    0.8223  

89.3      0.6086    0.7965  

90.3      0.5714    0.7699  

91.3      0.5354    0.7424  

92.3      0.5004    0.7140  

93.3      0.4664    0.6846  

94.3      0.4334    0.6544  

95.3      0.4013    0.6232  

96.3      0.3701    0.5910  

97.3      0.3398    0.5578  

98.3      0.3103    0.5236  

99.3      0.2816    0.4883  

100.3      0.2537    0.4520  

101.3      0.2265    0.4146  

102.3      0.2000    0.3762  

103.3      0.1743    0.3365  

104.3      0.1492    0.2958  

105.3      0.1247    0.2538  

106.3      0.1008    0.2107  

107.3      0.0776    0.1664  

108.3      0.0549    0.1208  

109.3      0.0327    0.0739  

110.3      0.0111    0.0258  

110.8      0.0000    0.0000  

